Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2017,4,11,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Dr Peeter Padrik arvamus ravikanepist 11.04.17,https://drive.google.com/file/d/1sNftoxYb6WZq7b4tgB26HuwS6FNOiHxm/view?usp=sharing,,,,,,
2017,4,5,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Eesti Valu Seltsi seisukoht,https://drive.google.com/file/d/1FCS2xzuS7eA6f5TQSR0Dq9qHPbsIcF_M/view?usp=sharing,,,,,,
2017,4,11,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Link 11.04.2017 istungi protokollile,https://drive.google.com/file/d/1FQo4mdjGmtseNug37IhG7-a31HWOS8yK/view?usp=sharing,,,,,,
2017,4,11,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Sotsiaalkomisjoni 11.04.2017 avaliku istungi video,https://www.youtube.com/watch?v=y3KuesTgxD0,,,,,,
2017,5,8,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Vastus kollektiivsele pöördumisele,https://drive.google.com/file/d/1BnVg2pHguM9DbEZsmhdImLhWi4lRYYtV/view?usp=sharing,,,,,,
2017,5,8,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Kiri Sotsiaalministeeriumile,https://drive.google.com/file/d/1XfkWW0WEgTpAlrp_OK2t2e1_g-zgIQng/view?usp=sharing,,,,,,
2017,4,17,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Aleksander Laane kiri,https://drive.google.com/file/d/1XfkWW0WEgTpAlrp_OK2t2e1_g-zgIQng/view?usp=sharing,,,,,,
2017,4,11,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Sotsiaalkomisjon arutab 11.04.2017 avalikul istungil kollektiivseid pöördumisi Ravikanepi kasutamisest ja kanepituru reguleerimisest. Vaata kell 14 algavat ülekannet: https://www.riigikogu.ee/live/4/et Ettekande teevad Kanada kannabinoidravi ekspert dr Michael Verbora ja Tartu Ülikooli närvikliiniku neuroloog dr Sulev Haldre.,,,,,,,
2017,3,20,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Põhiseaduskomisjoni arvamus,https://drive.google.com/file/d/1XHH871zgsNwLta9oVi4pcTfMwA1aieSc/view?usp=sharing,,,,,,
2017,2,13,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,sotsiaalkomisjoni protokoll,https://drive.google.com/file/d/1QtWEafc4nVdkdic7_uul-xyezJUowLPr/view?usp=sharing,,,,,,
2017,2,7,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,sotsiaalkomisjoni protokoll,https://drive.google.com/file/d/1nivHHgYKIcG6bfJijzDy9bnneEkSOUHS/view?usp=sharing,,,,,,
2017,2,7,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Eesti Arstide Liidu seisukoht kanepi kasutamise ja regulatsiooni kohta meditsiinis,https://drive.google.com/file/d/1RmF6awlvKhgcC_AFCWK6wmrJhlPQgRPG/view?usp=sharing,,,,,,
2017,1,17,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,sotsiaalkomisjoni protokoll,https://drive.google.com/file/d/1yrjXH6AWklYl8LxTeC35bp225rcLaHuc/view?usp=sharing,,,,,,
2016,11,10,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Riigikogu juhatuse otsus - Kollektiivse pöördumise menetlusse võtmine,,,,,,,
2016,10,18,,,,,,,Väikese väina elukeskkonna tervendamise eest!,Menetlus lõpetati 18.10.2016,,,,,,,
2016,10,18,,,,,,,Väikese väina elukeskkonna tervendamise eest!,Keskkonnakomisjoni 18.10.2016 avaliku istungi video,https://www.youtube.com/watch?v=d3H6WKsL_z4&feature=youtu.be,,,,,,
2016,10,18,,,,,,,Väikese väina elukeskkonna tervendamise eest!,Keskkonnakomisjoni 18.10.2016 avaliku istungi video,https://drive.google.com/file/d/1Rg2cese-W0N2WDS-AD3zWDWfnczKvPpj/view?usp=sharing,,,,,,
2016,10,14,,,,,,,Väikese väina elukeskkonna tervendamise eest!,18.oktoobril kell 14.00 toimub Riigikogus väikese väina avamise avalik arutelu ja veebist on võimalik jälgida otseülekannet:,,,,,,,
2016,8,8,,,,,,,Väikese väina elukeskkonna tervendamise eest!,Kollektiivse pöördumise menetlusse võtmine,,,,,,,
